Date	Close	Open	High	Low	Volume	Chg%
Mar 29, 2017	28,762	28,792	28,792	28,687	6.69K	-0.38%
Mar 28, 2017	28,872	28,839	28,910	28,784	7.33K	0.11%
Mar 27, 2017	28,839	28,850	28,985	28,800	9.09K	0.10%
Mar 24, 2017	28,809	28,750	28,840	28,714	7.95K	-0.02%
Mar 23, 2017	28,816	28,829	28,960	28,751	11.08K	-0.24%
Mar 22, 2017	28,886	28,801	28,993	28,801	11.12K	0.11%
Mar 21, 2017	28,853	28,462	28,893	28,391	14.91K	1.17%
Mar 20, 2017	28,518	28,580	28,630	28,487	7.81K	-0.04%
Mar 17, 2017	28,528	28,498	28,550	28,461	7.11K	0.32%
Mar 16, 2017	28,436	28,090	28,594	28,090	14.14K	1.49%
Mar 15, 2017	28,019	28,050	28,058	27,932	10.78K	-0.29%
Mar 14, 2017	28,100	28,349	28,349	28,080	10.24K	-0.68%
Mar 13, 2017	28,291	28,436	28,436	28,263	4.31K	-0.44%
Mar 10, 2017	28,417	28,420	28,523	28,305	11.57K	-0.26%
Mar 09, 2017	28,491	28,610	28,639	28,440	10.85K	-0.59%
Mar 08, 2017	28,660	28,799	28,806	28,622	9.37K	-0.46%
Mar 07, 2017	28,791	28,969	28,979	28,765	10.09K	-0.65%
Mar 06, 2017	28,979	29,100	29,218	28,960	10.37K	-1.57%
Mar 03, 2017	29,442	29,300	30,079	29,051	0.21K	0.81%
Mar 02, 2017	29,204	29,499	29,500	29,161	0.43K	-1.10%
Mar 01, 2017	29,529	29,455	29,595	29,118	2.23K	-0.21%
Feb 28, 2017	29,592	29,705	29,705	29,532	8.54K	-0.47%
Feb 27, 2017	29,732	29,575	29,757	29,532	7.87K	0.40%
Feb 24, 2017	29,613	29,481	29,635	29,481	6.28K	0.59%
Feb 23, 2017	29,440	29,245	29,464	29,217	12.21K	0.74%
Feb 22, 2017	29,223	29,285	29,349	29,190	8.98K	-0.31%
Feb 21, 2017	29,314	29,230	29,334	29,088	10.55K	-0.03%
Feb 20, 2017	29,324	29,330	29,356	29,189	5.98K	-0.12%
Feb 17, 2017	29,359	29,327	29,412	29,290	9.65K	-0.06%
Feb 16, 2017	29,377	29,186	29,438	29,173	12.51K	0.82%
Feb 15, 2017	29,138	29,030	29,166	28,880	11.10K	0.38%
Feb 14, 2017	29,027	29,088	29,210	28,977	11.12K	-0.10%
Feb 13, 2017	29,057	29,116	29,199	28,981	8.23K	-0.47%
Feb 10, 2017	29,195	29,050	29,222	28,875	11.84K	0.27%
Feb 09, 2017	29,115	29,349	29,419	29,080	12.95K	-0.87%
Feb 08, 2017	29,371	29,325	29,445	29,258	10.85K	0.08%
Feb 07, 2017	29,348	29,250	29,370	29,215	11.60K	0.50%
Feb 06, 2017	29,202	28,965	29,224	28,965	10.16K	0.12%
Feb 03, 2017	29,166	29,030	29,494	28,900	0.24K	0.35%
Feb 02, 2017	29,064	29,150	29,175	28,950	0.38K	0.29%
Feb 01, 2017	28,981	29,155	29,463	28,811	4.27K	-0.65%
Jan 31, 2017	29,172	28,700	29,233	28,700	7.61K	1.85%
Jan 30, 2017	28,642	28,479	28,688	28,420	7.21K	0.68%
Jan 27, 2017	28,449	28,387	28,480	28,171	10.48K	-0.08%
Jan 25, 2017	28,472	28,750	28,750	28,322	11.58K	-1.19%
Jan 24, 2017	28,815	28,863	28,875	28,780	6.70K	-0.21%
Jan 23, 2017	28,876	28,798	28,920	28,781	9.61K	0.67%
Jan 20, 2017	28,685	28,680	28,790	28,583	11.51K	0.34%
Jan 19, 2017	28,588	28,738	28,738	28,515	12.64K	-0.92%
Jan 18, 2017	28,852	28,830	28,875	28,736	9.25K	0.19%
Jan 17, 2017	28,797	28,620	28,824	28,620	13.35K	0.69%
Jan 16, 2017	28,601	28,564	28,691	28,557	8.01K	0.57%
Jan 13, 2017	28,440	28,469	28,482	28,301	11.16K	-0.08%
Jan 12, 2017	28,463	28,398	28,565	28,392	12.93K	0.39%
Jan 11, 2017	28,353	28,234	28,399	28,155	13.18K	0.51%
Jan 10, 2017	28,210	28,132	28,326	28,083	11.75K	0.31%
Jan 09, 2017	28,124	28,080	28,150	27,903	9.48K	0.59%
Jan 06, 2017	27,960	28,001	28,099	27,870	12.12K	-3.22%
Jan 05, 2017	28,890	28,269	28,925	28,183	0.23K	2.87%
Jan 04, 2017	28,085	28,080	28,158	27,987	0.72K	-0.06%
Jan 03, 2017	28,102	27,860	28,134	27,770	0.96K	0.98%
Jan 02, 2017	27,828	27,673	27,860	27,670	1.43K	0.46%
Dec 30, 2016	27,700	27,840	27,889	27,670	8.35K	-0.40%
Dec 29, 2016	27,810	27,580	27,837	27,580	7.75K	0.98%
Dec 28, 2016	27,539	27,575	27,590	27,441	5.90K	0.39%
Dec 27, 2016	27,431	27,199	27,720	27,199	10.79K	0.70%
